v_inf,re,im
5.0,-67.75939201246419,-356.2197351857374
5.0,-68.13402847535866,-355.72137934080905
5.0,-57.24031719646,-355.5735192844625
5.0,-22.339548714183174,-355.4413401287416
5.0,-38.113273576585684,-355.3805013158943
5.0,-65.91870707715732,-354.9355978264613
5.0,-67.91793718957733,-354.80701021820704
5.0,-68.38671099443614,-354.51472990713035
5.0,-5193.916052408837,-354.2510286994123
5.0,-67.65264894957508,-353.44584026370586
5.0,-68.41569130220866,-353.0541556580649
5.0,-69.70896936791546,-352.0525172562882
5.0,-67.5614172737826,-351.25276356478696
5.0,-67.68769583593613,-350.92072994082685
5.0,-67.65051106086563,-350.6234757198136
5.0,-68.32621709369961,-350.62124495382807
5.0,-67.74723825906128,-350.580764277743
5.0,-69.35933581532295,-350.5479747177923
5.0,-39.27017106184219,-349.7885699669006
5.0,-52.41896753458348,-349.6381089678586
5.0,-64.31928390309149,-349.4287480841176
5.0,-67.47844411517987,-348.85551708456023
5.0,-5242.023238852008,-348.602878219012
5.0,-67.81071616637405,-347.18172704836155
5.0,-71.30260938244669,-347.0708506262568
5.0,-68.5144946874458,-346.81023804047067
5.0,-2.5423218077806027,-346.0267808361962
5.0,-4952.935215185775,-345.1436129038818
5.0,-67.49705324650313,-344.82989076257445
5.0,-67.64607448637526,-344.7575543157845
5.0,-67.93900355007061,-344.6277288455712
5.0,-1294.6796543447215,-344.4283009903189
5.0,-57.20228130090399,-344.1503756035707
5.0,-22.306372019635095,-344.0273462327118
5.0,-68.38611179222899,-344.0029486100082
5.0,-38.07582466495865,-343.96372949862666
5.0,-65.91049054165933,-343.4521779871661
5.0,-67.96198382140491,-343.0382893840173
5.0,-68.45031879238792,-342.7928147650173
5.0,-4123.814503276479,-341.8635524869753
5.0,-67.70278176152154,-341.70295367172395
5.0,-68.30665546020468,-341.4125868707443
5.0,-69.64090924003325,-340.71862641163875
5.0,-67.65768553600734,-339.8412716205611
5.0,-67.8514664210228,-339.5042728981895
5.0,-69.68033888408452,-339.21641798687597
5.0,-67.91358167260589,-339.2092362485381
5.0,-5106.54261243102,-339.1871949081425
5.0,-68.56640536899411,-339.17780658661223
5.0,-67.84899399407232,-339.1187331953212
5.0,-39.233148404987446,-338.3837178457226
5.0,-52.378498139148284,-338.21793001065186
5.0,-64.27864232734908,-337.99978073301276
5.0,-67.56591432721164,-337.32343955489546
5.0,-68.00353001879024,-335.6574360367722
5.0,-68.44380695644972,-335.5483750807247
5.0,-70.81137808345729,-335.5469392825185
5.0,-2.4638478860586406,-333.31988831221884
5.0,-67.66768470687887,-333.3104622551547
5.0,-67.81271741969528,-333.1928519366763
5.0,-68.16832753993174,-333.04556408380085
5.0,-57.16875386008025,-332.734745461982
5.0,-22.269286197681048,-332.6157407122014
5.0,-38.03362760639867,-332.5462342483559
5.0,-68.70563925825611,-332.27407079116574
5.0,-65.91668306869413,-331.97473127618485
5.0,-68.02843575974723,-331.2720699614901
5.0,-68.51123231951048,-331.01672543597135
5.0,-67.79463625490249,-329.9516208643094
5.0,-68.23154268466165,-329.7820125874313
5.0,-69.459555569298,-329.2951578234757
5.0,-67.71072901403284,-328.4547102416737
5.0,-67.95367187512008,-328.13551241217095
5.0,-69.82884080924491,-328.0341499881867
5.0,-68.08025398279717,-327.8536105131036
5.0,-68.75558862956487,-327.82907391863154
5.0,-67.96504636973074,-327.66622087131526
5.0,-39.19147220467687,-326.97703636600846
5.0,-52.333384376731495,-326.7990218588008
5.0,-64.23631414159746,-326.5734479777473
5.0,-5461.16895761656,-326.55436174747933
5.0,-67.66227238637191,-325.7856503819752
5.0,-5195.2682285600995,-324.9596996458829
5.0,-68.24031699796788,-324.43025671786154
5.0,-68.15599832646745,-323.9072352721961
5.0,-70.59618077299179,-323.9043795787976
5.0,-67.83192561108137,-321.81973453798093
5.0,-67.99724420932559,-321.655991057594
5.0,-68.44998770345333,-321.5104393587258
5.0,-57.13194583367459,-321.329828748047
5.0,-22.22663628019786,-321.204788632164
5.0,-37.98679390329129,-321.12803013108527
5.0,-69.08851605632564,-320.54323920989304
5.0,-65.93112700884024,-320.5128706666538
5.0,-68.11884471372205,-319.51607967484955
5.0,-68.58746446692426,-319.18985845916586
5.0,-2.3641467928690174,-318.30919963517704
5.0,-68.17101054692269,-318.1925208841411
5.0,-67.92665308194614,-318.1784093234313
5.0,-69.25277508534639,-317.7545863317461
5.0,-67.7165333780905,-317.06322094144315
5.0,-69.78667442801975,-316.82995877003
5.0,-67.99561969971231,-316.768723945856
5.0,-68.8437035137073,-316.5429034106747
5.0,-68.18116936824407,-316.51764775522156
5.0,-68.05308796678636,-316.23068104868776
5.0,-39.145544706062125,-315.56897478514577
5.0,-52.28273808305494,-315.3814482740672
5.0,-64.1900159227196,-315.1536203642464
5.0,-67.77841553994196,-314.2507013944167
5.0,-4419.833422590617,-313.4520481770492
5.0,-68.18204312063506,-313.0505474055134
5.0,-70.46778821917529,-312.340327176782
5.0,-68.15111320329711,-312.2852884639106
5.0,-67.98956585960005,-310.34890406717636
5.0,-68.18583150302547,-310.1548654225507
5.0,-68.76075054716759,-310.05572668524985
5.0,-57.08461783523778,-309.93398060903075
5.0,-22.178533307483168,-309.7939219756583
5.0,-37.935219180362864,-309.7092295761483
5.0,-65.94204531860484,-309.067877611764
5.0,-69.51227840648295,-308.7885593327739
5.0,-3276.819912758044,-308.59072615901283
5.0,-5319.349603426739,-307.9226085049146
5.0,-68.23140271251317,-307.7696014679247
5.0,-68.6874290351815,-307.3379551392127
5.0,-68.19574720811399,-306.6503410766089
5.0,-68.00104267163476,-306.3688997373622
5.0,-69.08791555252913,-306.13183352810216
5.0,-67.69140503867625,-305.6477679841812
5.0,-69.62809535435123,-305.5238680550373
5.0,-68.00189185127627,-305.3817120780494
5.0,-68.81523357969641,-305.25234538585374
5.0,-68.21878707962412,-305.1699583564736
5.0,-68.11503358936523,-304.8026636331087
5.0,-39.095247588876845,-304.1599642378734
5.0,-52.22576175364424,-303.9651481240742
5.0,-64.13567855917793,-303.74053285959343
5.0,-67.91361837542385,-302.72974074200226
5.0,-68.15795147408848,-301.56411341166614
5.0,-70.32697513601542,-300.8227866160252
5.0,-68.16358973732925,-300.70040003450083
5.0,-2.2368121969308383,-300.51015751536386
5.0,-5283.545465701208,-299.28962222661943
5.0,-68.14252048209744,-298.897018943341
5.0,-69.05216760926542,-298.69396014515826
5.0,-68.36415714300422,-298.6786547066933
5.0,-57.0216545527033,-298.54316099524306
5.0,-22.124904934286008,-298.38331058926894
5.0,-37.87869637967942,-298.2898849959591
5.0,-3808.352761404633,-298.14937451054396
5.0,-65.94309989954394,-297.6307871205431
5.0,-69.94672578834651,-296.9388278494546
5.0,-68.36837183062704,-296.0307404038991
5.0,-68.80010799500039,-295.48493657822814
5.0,-68.25115216205492,-295.04714822763464
5.0,-68.06304946535158,-294.6053165940343
5.0,-69.00278633918526,-294.4807992870332
5.0,-67.64974128006315,-294.2037148880349
