v_inf,re,im
5.0,-67.71859292215952,-358.7840070508759
5.0,-68.04169954781953,-358.25302159815465
5.0,-40.864202768917856,-357.7649493781581
5.0,-68.46468520722091,-357.59861500949387
5.0,-4.379439669026761,-357.2105638684277
5.0,-2.6166793183962005,-356.77809037875744
5.0,-36.72449628269836,-356.54632076354767
5.0,-67.30582808850407,-356.38954577073434
5.0,-67.47495724017271,-356.3044031875436
5.0,-67.7430379214656,-356.27657051201203
5.0,-5334.757428073762,-355.7801370995892
5.0,-68.09866464494127,-355.7618931158769
5.0,-22.419834181255855,-355.2558458896135
5.0,-67.97244342102661,-354.7871725553967
5.0,-68.44469289450781,-354.686055832895
5.0,-67.44242174466659,-353.32584328135846
5.0,-68.48346546378944,-353.0570682012023
5.0,-69.61555820497567,-352.2086385204281
5.0,-67.57198460629412,-351.29925041652587
5.0,-67.64225131832445,-350.8740168264783
5.0,-67.53730071888837,-350.7415162950219
5.0,-67.81864727719253,-350.6818573993018
5.0,-68.83807829914007,-350.3836989457468
5.0,-68.01621109547351,-350.1494118777938
5.0,-62.27501226408526,-350.09012401058834
5.0,-56.6658972952911,-349.2478839057022
5.0,-67.48267142946384,-348.8754272382702
5.0,-1602.1865418216512,-348.35097267235994
5.0,-50.37135830715445,-348.3257193556217
5.0,-71.75839889667189,-347.97283332958915
5.0,-3988.3492875056695,-347.40551504876584
5.0,-67.8264767454652,-347.3443915856107
5.0,-68.09795085137681,-346.6867570766962
5.0,-40.581211065287654,-346.32106042363966
5.0,-2.5418604870179595,-346.0290408130607
5.0,-68.68861927555879,-346.0229565596214
5.0,-36.746421739860594,-345.276336813025
5.0,-5430.244836474158,-345.1336639108283
5.0,-5118.690775714279,-344.98430944067894
5.0,-67.46283270696918,-344.8266245842106
5.0,-67.92943590958292,-344.7394716693574
5.0,-67.58977968317029,-344.708747643147
5.0,-68.32102717480994,-344.05850575895874
5.0,-22.362076503236917,-343.8311040825238
5.0,-68.00335532901099,-343.0199619214498
5.0,-68.48328203600137,-342.88897161151925
5.0,-67.51450697583674,-341.6112827192579
5.0,-68.40078291440203,-341.38722636741085
5.0,-69.51108580770934,-340.8218309109848
5.0,-5041.600045358359,-340.0861990285145
5.0,-67.66761323075424,-339.84834523285963
5.0,-67.81799283397929,-339.4621676195065
5.0,-67.68878707904841,-339.2776605747255
5.0,-67.97281103287744,-339.2469106709117
5.0,-69.23573857234382,-339.00114117377916
5.0,-62.20108329030854,-338.7208533904275
5.0,-68.20534866086034,-338.63939560855397
5.0,-4304.17607133368,-338.5443413665984
5.0,-56.7073332606713,-337.8183844353265
5.0,-3824.2086420336104,-337.6697338768361
5.0,-67.57780436194712,-337.32285164494635
5.0,-50.45002894044922,-336.9779148136668
5.0,-71.89768313939334,-336.6949398011038
5.0,-67.89322336292824,-335.8879793733475
5.0,-5185.814164832358,-335.5647205684536
5.0,-68.14899441241491,-335.14927380361485
5.0,-40.300385606215116,-334.864405171787
5.0,-68.94686019247324,-334.54878898497344
5.0,-36.774379153102274,-334.0149633581169
5.0,-2.4638783394385633,-333.3228893458651
5.0,-67.62045160821319,-333.3024601416614
5.0,-68.12621295959677,-333.2248211739095
5.0,-67.72962871772006,-333.1149096691265
5.0,-22.297560581720873,-332.4115487023462
5.0,-68.59226983782649,-332.32254619445143
5.0,-68.05920608428636,-331.24978817041057
5.0,-68.54487527054567,-331.0388017621955
5.0,-67.6254381714686,-329.90623479113503
5.0,-68.32641684504212,-329.71897753220475
5.0,-69.35164049854873,-329.35215395402673
5.0,-67.74685922747864,-328.4359693599712
5.0,-67.92582239700175,-328.0741629511733
5.0,-68.08421192688347,-327.87822806092043
5.0,-69.55046752009154,-327.85719046673785
5.0,-67.82952534944486,-327.8127158942541
5.0,-62.11923068804103,-327.3496283299756
5.0,-68.38063542202923,-327.1975617308021
5.0,-56.74775460141857,-326.4015868625922
5.0,-67.70023624655836,-325.766252159703
5.0,-50.50756205611744,-325.63029138226733
5.0,-71.67534742896815,-325.4569049482879
5.0,-67.95209471297376,-324.3996398696832
5.0,-68.18579014738849,-323.6342017381584
5.0,-40.01780191066108,-323.39068803712814
5.0,-5134.707118728287,-323.3109089147127
5.0,-69.13256765696742,-323.18392612393967
5.0,-36.80849174147767,-322.76629679798134
5.0,-67.76762735138263,-321.7893528513445
5.0,-68.33390813146416,-321.730122463268
5.0,-67.90034660126655,-321.54772106943886
5.0,-22.22521308170435,-320.99556754153645
5.0,-5149.372732944711,-320.8994203457835
5.0,-68.93627727242236,-320.5436405987264
5.0,-68.15125720156396,-319.48058141342693
5.0,-68.6264341688282,-319.15938001231535
5.0,-2.365233332039286,-318.31474534408426
5.0,-67.77628874757842,-318.22369831616044
5.0,-68.25345816375697,-318.05221121098816
5.0,-69.19587101254801,-317.8086230421599
5.0,-67.78269328854672,-317.05249086199916
5.0,-69.53156995570326,-316.8108938749379
5.0,-68.00445918622196,-316.69333727242747
5.0,-68.12392629423667,-316.54178866618986
5.0,-67.94715975858443,-316.33339269866696
5.0,-62.03154379173508,-315.9783817143956
5.0,-68.50529473844189,-315.80589968490955
5.0,-56.78425052809109,-314.99699125608436
5.0,-50.54559985285917,-314.2815787344453
5.0,-67.85369722718968,-314.2277436620443
5.0,-71.27243789529291,-313.92524445403757
5.0,-68.03026221690489,-312.8881501652531
5.0,-4573.649875584527,-312.1642275518075
5.0,-68.20679439832443,-312.12910159397734
5.0,-39.73116914591435,-311.8944238892907
5.0,-69.17914797133254,-311.82945432726876
5.0,-36.84826579915152,-311.536045384377
5.0,-132.75497777561284,-311.19638809461355
5.0,-1775.810608183841,-310.49714596211754
5.0,-67.9278700493386,-310.28203419587624
5.0,-68.55397005278634,-310.2595395934039
5.0,-68.08148302767837,-310.01882396768843
5.0,-22.145224678575993,-309.5831419296458
5.0,-69.37878592392279,-308.7069839503752
5.0,-5251.6185944320205,-308.5694601503007
5.0,-68.28298465330656,-307.72479854998966
5.0,-68.72561649148294,-307.2701116194318
5.0,-67.98652102387257,-306.58921245844124
5.0,-68.15436865645454,-306.3755490132186
5.0,-69.0535799960876,-306.2447214589054
5.0,-67.76016808254887,-305.66807820244287
5.0,-69.28386723071667,-305.51558747715217
5.0,-68.04190088414126,-305.33940347092
5.0,-68.13395269371422,-305.16194267371026
5.0,-68.04481659539087,-304.8517256143806
5.0,-61.93758131844309,-304.6111259919541
5.0,-68.57371776391875,-304.4026368964057
5.0,-56.81455826842795,-303.6036379004469
5.0,-50.56562123162139,-302.93043116009596
5.0,-68.0312130741707,-302.71792048867684
5.0,-70.97164463804417,-302.3278294631071
5.0,-68.14418265725332,-301.37930870972156
5.0,-4840.589616528369,-301.2252984910993
5.0,-68.21185505666287,-300.62770759875224
5.0,-2.2410624811763475,-300.51835364783153
5.0,-69.13053648971852,-300.38710773825926
5.0,-39.44066611878262,-300.3666110041956
5.0,-36.89071825751755,-300.33354438682534
5.0,-68.78801328467534,-298.81432110708215
5.0,-68.11201425271797,-298.8052324736685
